subject,Scene,NarrativeVerifiableDetails_JD,LowConfidenceVerifiableDetails_JD,PerceptualVerifiableDetails_JD,Repetitions_JD,Transitions_JD,OtherDetails_JD,CharacterSwitch_JD,ContextSwitch_JD,Comments_JD,NarrativeVerifibleDetails_EM,LowConfidenceVerifiableDetails_EM,PerceptualVerifiableDetails_EM,Repetitions_EM,Transitions_EM,OtherDetails_EM,CharacterSwitch_EM,ContextSwitch_EM,Comments_EM
208,H,6,0,0,,,,,,,7,0,0,,,,,,
208,I,2,0,0,,,,,,,2,0,1,,,,,,
208,J,22,0,0,,,,,,,21,0,1,,,,,,
208,K,12,0,1,,,,,,,10,0,3,,,,,,
208,L,5,0,2,,,,,,,1,2,3,,,,,,
208,Either,0,0,1,24,4,39,0,0,0,3,0,0,13,5,53,2,0,character switch with caterer's assistant
208,Integrated,6,0,0,,,,,,,6,0,0,,,,,,
209,A,6,0,2,,,,,,,7,0,2,,,,,,
209,B,16,4,0,,,,,,,16,2,0,,,,,,
209,C,8,0,0,,,,,,,8,0,2,,,,,,
209,D,16,0,2,,,,,,,17,0,2,,,,,,
209,E,19,2,1,,,,,,,15,2,0,,,,,,
209,F,0,0,0,,,,,,,0,0,0,,,,,,
209,G,20,0,0,,,,,,,18,0,0,,,,,,
209,H,4,0,0,,,,,,,4,0,0,,,,,,
209,I,2,0,0,,,,,,,2,0,2,,,,,,
209,J,13,0,0,,,,,,,10,0,0,,,,,,
209,K,0,0,0,,,,,,,0,0,0,,,,,,
209,L,5,0,0,,,,,,,5,0,0,,,,,,
209,Either,0,1,0,8,2,34,0,0,0,2,1,1,8,2,57,0,0,
209,Integrated,9,0,0,,,,,,,6,3,0,,,,,,
210,A,7,0,1,,,,,,,3,0,1,,,,,,
210,B,11,0,0,,,,,,,5,0,0,,,,,,
210,C,3,0,0,,,,,,,3,0,0,,,,,,
210,D,10,0,1,,,,,,,10,0,1,,,,,,
210,E,10,1,2,,,,,,,6,1,0,,,,,,
210,F,0,0,0,,,,,,,1,0,0,,,,,,
210,G,13,0,0,,,,,,,7,0,0,,,,,,
210,H,0,0,0,,,,,,,3,0,0,,,,,,
210,I,2,0,2,,,,,,,2,0,2,,,,,,
210,J,0,0,0,,,,,,,0,0,0,,,,,,
210,K,0,0,0,,,,,,,1,0,0,,,,,,
210,L,6,0,0,,,,,,,3,0,0,,,,,,
210,Either,0,0,0,1,2,18,2,0,character switch with the caterer,5,0,0,1,2,22,2,1,character switch with caterer's assistant and caterer
210,Integrated,6,0,0,,,,,,,2,0,0,,,,,,
211,A,10,0,5,,,,,,,9,0,3,,,,,,
211,B,13,0,0,,,,,,,12,0,0,,,,,,
211,C,6,0,0,,,,,,,6,0,0,,,,,,
211,D,13,1,1,,,,,,,14,1,1,,,,,,
211,E,27,2,0,,,,,,,23,3,0,,,,,,
211,F,3,0,0,,,,,,,2,0,0,,,,,,
211,G,21,0,0,,,,,,,12,3,0,,,,,,
211,H,7,0,0,,,,,,,6,0,0,,,,,,
211,I,4,0,0,,,,,,,3,0,0,,,,,,
211,J,12,1,0,,,,,,,11,0,0,,,,,,
211,K,7,0,1,,,,,,,6,0,1,,,,,,
211,L,0,0,0,,,,,,,0,0,0,,,,,,
211,Either,1,0,0,9,1,44,0,1,0,11,2,0,14,3,54,0,0,
211,Integrated,12,0,0,,,,,,,2,0,1,,,,,,
212,A,6,0,1,,,,,,,5,0,1,,,,,,
212,B,13,0,0,,,,,,,10,2,0,,,,,,
212,C,0,0,0,,,,,,,0,0,0,,,,,,
212,D,15,0,0,,,,,,,13,0,1,,,,,,
212,E,17,0,3,,,,,,,17,0,1,,,,,,
